Organization Name,CrunchBase URL,Last Funding Date,Total Funding Amount,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Website,Estimated Revenue Range,Top 5 Investors,Lead Investors,Twitter,LinkedIn,Number of Employees,Last Funding Amount,Founded Date
Huug,https://www.crunchbase.com/organization/huug,"Apr 17, 2025","$6,000,000",Not Started,"Apparel, Fashion, Women's","Woodmere, New York, United States",Huug is a washable and dryer-safe bra and intimate apparel company.,"49,074",https://huug.com/,—,Kaylim Capital,Kaylim Capital,,https://www.linkedin.com/company/shophuug/,1-10,"$6,000,000",2023
ZD Jasper Realty,https://www.crunchbase.com/organization/zd-jasper-realty,"Apr 17, 2025","$125,000,000",Not Started,"Property Development, Property Management, Real Estate","Great Neck, New York, United States","ZD Jasper Realty is a real estate agency that develops, manages, and sells residential and commercial properties.","55,321",https://www.zdjasper.com/,$1M to $10M,iCross Capital,iCross Capital,,https://www.linkedin.com/company/zd-jasper,1-10,"$125,000,000",1996
ActionStreamer,https://www.crunchbase.com/organization/action-streamer-2,"Apr 17, 2025","$7,592,997",Not Started,"Broadcasting, Digital Media, Military, Software, Sports","Cincinnati, Ohio, United States","Wearable data streaming platform delivering breakthrough solutions across sports, entertainment, telecommunications, industrial, defense","56,376",http://www.actionstreamer.com/,$1M to $10M,"CincyTech, Castellini Company, Advanced Manufacturing Fund, Vine St. Ventures","Advanced Manufacturing Fund, CincyTech",https://x.com/actionstreamer,https://www.linkedin.com/company/action-streamer,1-10,"$1,612,997",2015
New Jersey Community Capital,https://www.crunchbase.com/organization/new-jersey-community-capital,"Apr 17, 2025","$40,145,000",Not Started,"Communities, Non Profit","New Brunswick, New Jersey, United States","NJCC is a nonprofit community development financial institution that provides innovative financing, programs, and services for communities.","62,727",https://www.newjerseycommunitycapital.org/,$10M to $50M,"PNC, Community Development Financial Institutions Fund, U.S. Department of Housing and Urban Development, TD Charitable Foundation, WSFS CARES Foundation","1st Colonial Community Bank, Community Development Financial Institutions Fund, TD Charitable Foundation, U.S. Department of Housing and Urban Development, WSFS CARES Foundation",https://x.com/njclf,https://www.linkedin.com/company/new-jersey-community-capital,11-50,"$200,000",1987
LV Collective,https://www.crunchbase.com/organization/lv-collective,"Apr 17, 2025","$133,900,000",Not Started,"Property Development, Property Management, Real Estate, Real Estate Investment","Austin, Texas, United States","LV Collective is a real estate investment company that acquires, develops, and manages real estate.","65,146",https://lvcollective.com/,$1M to $10M,Mesa West Capital,Mesa West Capital,,https://www.linkedin.com/company/lvcollective/,11-50,"$133,900,000",2009
Mead & Hunt,https://www.crunchbase.com/organization/mead-hunt,"Apr 17, 2025","$10,540,608",Not Started,"Architecture, Civil Engineering, Construction, Hydroelectric","Middleton, Wisconsin, United States","Mead & Hunt provides clients with planning, architecture design, engineering, environmental, and construction administration services.","92,431",https://meadhunt.com/,$100M to $500M,—,—,https://x.com/@meadhunt,https://www.linkedin.com/company/mead-&-hunt/,1001-5000,"$576,000",1900
Segro,https://www.crunchbase.com/organization/segro,"Apr 17, 2025","$5,318,241,337",Not Started,"Asset Management, Logistics, Property Management, Real Estate, Warehousing","London, England, United Kingdom","SEGRO is a real estate investment trust that owns, manages, and develops contemporary storage and industrial properties.","108,553",http://www.segro.com/,—,"BNP Paribas, Wells Fargo, UBS, Barclays, Lloyd's","Bank of America Merrill Lynch, UBS",https://x.com/segroplc,https://www.linkedin.com/company/segro-plc/,251-500,"€1,600,000,000",1920
Wealth.com,https://www.crunchbase.com/organization/wealth-67af,"Apr 16, 2025","$46,000,000",Not Started,"Artificial Intelligence (AI), Financial Services, FinTech, Machine Learning, Wealth Management","Tempe, Arizona, United States",Wealth.com is a digital estate planning platform designed to empower financial advisors with tools and resources.,821,https://wealth.com/,$1M to $10M,"Alumni Ventures, Charles Schwab, Google Ventures, Firebolt Ventures, Citi Ventures","Alumni Ventures, Anthos Capital, Charles Schwab, Google Ventures",https://x.com/wearewealth,https://www.linkedin.com/company/wearewealth,101-250,—,2022
Hammerspace,https://www.crunchbase.com/organization/hammerspace-4936,"Apr 16, 2025","$156,700,000",Not Started,"AI Infrastructure, Artificial Intelligence (AI), Cloud Data Services, Cloud Storage, Data Management, Data Storage","San Mateo, California, United States",Hammerspace is a data platform that obliterates data access delays for AI and high-performance computing.,"1,121",https://hammerspace.com/,$10M to $50M,"Alumni Ventures, Altimeter Capital, ARK Investment Management, Prosperity7 Ventures, ICU Ventures","Altimeter Capital, ARK Investment Management, Prosperity7 Ventures",https://x.com/Hammerspace_Inc,https://www.linkedin.com/company/hammerspace,101-250,"$100,000,000",2018
Crux,https://www.crunchbase.com/organization/crux-70b8,"Apr 16, 2025","$77,050,000",Not Started,"Clean Energy, Finance, Lending, Manufacturing, Renewable Energy","New York, New York, United States","Crux is a capital market company that provides debit marketplace,transferable tax credits, and market intelligence for tax credit transfers.","1,380",https://www.cruxclimate.com/,$1M to $10M,"Andreessen Horowitz, QED Investors, Lowercarbon Capital, OMERS Ventures, Hartree Partners","Andreessen Horowitz, Ardent Venture Partners, Lowercarbon Capital",https://x.com/cruxclimate,https://www.linkedin.com/company/cruxclimate,11-50,"$50,000,000",2023
Juvenescence,https://www.crunchbase.com/organization/juvenescence,"Apr 16, 2025","$295,202,324",Not Started,"Biopharma, Biotechnology, Pharmaceutical","Douglas, NA - Isle of Man, Isle of Man",Juvenescence is a biotech company that develops therapies and products to modify aging and help people live longer.,"2,629",https://www.juvlabs.com/,$1M to $10M,"Foresite Capital, Longevity Vision Fund, Apeiron Investment Group, Kingsley Advani, Formic Ventures","Foresite Capital, Grok Ventures, IPGL, M42",,https://www.linkedin.com/company/juvenescence1,11-50,"$76,000,000",2016
Scout AI,https://www.crunchbase.com/organization/scout-ai-fcb2,"Apr 16, 2025","$15,000,000",Not Started,Artificial Intelligence (AI),"Sunnyvale, California, United States",Scout AI Building the robotic foundation model for defense.,"4,099",https://scoutco.ai/,—,"Gaingels, Draper Associates, FJ Labs, Decisive Point, Booz Allen Ventures","Align Ventures, Booz Allen Ventures",https://x.com/ScoutAI,,1-10,"$15,000,000",Aug 2024
Chapter,https://www.crunchbase.com/organization/chapter-4a29,"Apr 16, 2025","$184,000,000",Not Started,"Elderly, Health Care, Health Insurance, Medical","New York, New York, United States",Chapter offers a Medicare navigation platform that provides advisory services for seniors seeking health coverage.,"5,174",https://askchapter.org/,$10M to $50M,"Techstars, Maverick Ventures, SV Angel, Addition, XYZ Venture Capital","Addition, Narya Capital, Peter Thiel, Stripes, Techstars, XYZ Venture Capital",https://x.com/askchapter,https://www.linkedin.com/company/joinchapter/,101-250,"$75,000,000",2013
Auradine,https://www.crunchbase.com/organization/auradine,"Apr 16, 2025","$314,000,000",Not Started,"Artificial Intelligence (AI), Blockchain, Information Technology, Infrastructure, Security","Santa Clara, California, United States","Auradine provides web infrastructure solutions encompassing blockchain, artificial intelligence, and privacy technologies.","5,215",https://auradine.com/,—,"StepStone Group, Mayfield Fund, DCVC, MVP Ventures, Celesta Capital","Celesta Capital, Mayfield Fund, StepStone Group",https://x.com/Auradine_Inc,https://www.linkedin.com/company/auradine,101-250,"$138,000,000",2022
Pillar Security,https://www.crunchbase.com/organization/pillar-security-1370,"Apr 16, 2025","$9,000,000",Not Started,"Artificial Intelligence (AI), Cyber Security, Generative AI","Miami, Florida, United States",Pillar empowers companies to build and run secure AI software by proactively identifying and mitigating risks across the entire AI lifecycle,"7,647",https://pillar.security/,—,"Golden Ventures, Shield Capital, Ground Up Ventures, AWS & Crowdstrike Cybersecurity Accelerator","AWS & Crowdstrike Cybersecurity Accelerator, Shield Capital",https://x.com/Pillar_sec,https://www.linkedin.com/company/pillarsecurity/,11-50,"$9,000,000",2023
Blue Onion Labs,https://www.crunchbase.com/organization/blue-onion-labs,"Apr 16, 2025","$10,125,000",Not Started,"Accounting, Enterprise Resource Planning (ERP), Enterprise Software, Payments, Software","New York, New York, United States",Blue Onion Labs produces software that enables tracing of transactions and reconciliation of orders.,"8,450",https://www.blueonionlabs.com/,Less than $1M,"Y Combinator, Surface Ventures, Entrée Capital, Halogen Ventures, Vinyl Capital","Viola FinTech, Y Combinator",,https://www.linkedin.com/company/blue-onion-labs-inc/,11-50,"$10,000,000","Jan 1, 2020"
