Organization Name,CrunchBase URL,Last Funding Date,Total Funding Amount,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Website,Estimated Revenue Range,Top 5 Investors,Lead Investors,Twitter,LinkedIn,Number of Employees,Last Funding Amount,Founded Date
Prepared,https://www.crunchbase.com/organization/invictus-apps,"May 30, 2025","$151,429,615",Not Started,"Artificial Intelligence (AI), Enterprise Software, Public Safety","New York, New York, United States",Prepared offers an AI-powered platform designed to enhance emergency response operations.,"45,150",https://www.prepared911.com/,—,"Andreessen Horowitz, General Catalyst, 8VC, Radical Ventures, First Round Capital","Andreessen Horowitz, First Round Capital, General Catalyst, M13, Startup Yale",https://x.com/Prepared_HQ,https://www.linkedin.com/company/prepared911,101-250,"$80,000,000",2019
AMPYR Distributed Energy,https://www.crunchbase.com/organization/ampyr-distributed-energy,"May 30, 2025","£170,000,000",Not Started,Renewable Energy,"London, England, United Kingdom","AMPYR Distributed Energy designs, constructs, owns, and operates sustainable energy technology.","60,634",https://www.ampyrde.com/,—,Credit Agricole CIB,Credit Agricole CIB,,https://www.linkedin.com/company/ampyr-distributed-energy,11-50,"£170,000,000",2018
Group 1 Automotive,https://www.crunchbase.com/organization/group-1-automotive,"May 30, 2025","$6,500,000,000",Not Started,"Automotive, Retail, Sales","Houston, Texas, United States","Group 1 Automotive owns and operates about 130 franchises at approximately 100 dealerships, as well as about 25 collision service centers","61,532",http://www.group1auto.com/index.htm,$10B+,"JP Morgan Chase, Wells Fargo, Bank of America, Santander Bank, Barclays",—,https://x.com/group1auto,https://www.linkedin.com/company/group1automotive,10001+,"$3,500,000,000",1997
SkyNRG,https://www.crunchbase.com/organization/skynrg,"May 30, 2025","€475,000,000",Not Started,"Energy, Fuel, Sustainability","Amsterdam, Noord-Holland, The Netherlands",SkyNRG provides sustainable aviation fuel (SAF) solutions.,"65,021",https://skynrg.com/,—,"Macquarie Asset Management, APG Asset Management","APG Asset Management, Macquarie Asset Management",https://x.com/skynrg,https://www.linkedin.com/company/skynrg/,1001-5000,"€300,000,000",2008
Teknia Group,https://www.crunchbase.com/organization/teknia-group,"May 30, 2025","€33,800,000",Not Started,"Automotive, Manufacturing, Wholesale","Elorrio, Pais Vasco, Spain",Teknia Group is manufactures and sells automotive parts in Spain and internationally.,"69,921",http://www.tekniagroup.com/,$500M to $1B,"European Investment Bank, Cofides","Cofides, European Investment Bank",,https://www.linkedin.com/company/teknia-manufacturing-group/,1001-5000,"€30,000,000",1992
Kinetik,https://www.crunchbase.com/organization/kinetik-c421,"May 30, 2025","$4,288,615,784",Not Started,"Energy, Industrial, Oil and Gas, Transportation","Midland, Texas, United States","Kinetik is an energy firm that offers transportation, compression, processing, and water management solutions for oil and gas companies.","73,131",https://www.kinetik.com/,$100M to $500M,—,—,,https://www.linkedin.com/company/kinetikhldgs/,251-500,"$2,750,000,000",2012
Fenix Group,https://www.crunchbase.com/organization/fenix-group-a377,"May 30, 2025","$29,199,148",Not Started,"Building Material, Industrial Manufacturing, Manufacturing, Product Design","Minnetonka, Minnesota, United States","Fenix Group manufactures and distributes custom industrial coatings, sealants, and paint for various industries and applications.","81,220",https://fenixspc.com/,—,—,—,https://x.com/FenixGroupSPC,https://www.linkedin.com/company/fenix-group-spc/,101-250,"$27,442,875",1979
Air T,https://www.crunchbase.com/organization/air-t,"May 30, 2025","$56,000,000",Not Started,"Electronics, Manufacturing, Transportation","Maiden, North Carolina, United States","Air T operates in two industry segments, providing air cargo services to the air express delivery industry","92,666",https://www.airt.net/,$100M to $500M,—,—,,https://www.linkedin.com/company/airtinc/,501-1000,"$40,000,000",1980
Carnegie Mellon University,https://www.crunchbase.com/organization/carnegie-mellon-university,"May 29, 2025","$488,578,726",Not Started,"Education, Higher Education, Universities","Pittsburgh, Pennsylvania, United States","Carnegie Mellon University is a research university offering programs and research across engineering, science, arts, and business.",602,https://www.cmu.edu/,$1B to $10B,"National Science Foundation, Innovation Works, US Department of Energy, The MasterCard Foundation, Algorand Foundation","Alfred P. Sloan Foundation, Algorand Foundation, Appalachian Regional Commission, eBPF Foundation, ICANN, Innovation Works, National Science Foundation, PNC Foundation, Richard King Mellon Foundation, US Department of Energy, U.S. Department of Transportation",https://www.x.com/CarnegieMellon,https://www.linkedin.com/school/carnegie-mellon-university,5001-10000,"$450,389",1900
Empathy,https://www.crunchbase.com/organization/empathy-5cb4,"May 29, 2025","$162,000,000",Not Started,"Apps, Health Care, Information Technology, Software","New York, New York, United States",Empathy is a support system mobile application that guides and supports families along the journey of loss.,754,https://www.empathy.com/,$10M to $50M,"General Catalyst, Index Ventures, LocalGlobe, Adams Street Partners, Munich Re Ventures","Adams Street Partners, Aleph, Entrée Capital, General Catalyst, Index Ventures",https://x.com/empathy_app,https://www.linkedin.com/company/empathy-com,101-250,"$72,000,000",2020
Firefly Aerospace,https://www.crunchbase.com/organization/firefly-aerospace,"May 29, 2025","$796,557,023",Not Started,"Aerospace, Air Transportation, Satellite Communication","Cedar Park, Texas, United States","Firefly Aerospace is a space company that develops and operates launch vehicles, lunar landers, and orbital vehicles for commercial mission.","1,046",https://fireflyspace.com/,$50M to $100M,"AE Industrial Partners, Northrop Grumman, SeedInvest, RPM Ventures, Astera Institute","AE Industrial Partners, DADA Holdings, Mitsui & Co., Northrop Grumman, RPM Ventures",https://x.com/Firefly_Space,https://www.linkedin.com/company/fireflyspace,501-1000,"$50,000,000",2014
David,https://www.crunchbase.com/organization/david-6c93,"May 29, 2025","$85,000,000",Not Started,"Food and Beverage, Manufacturing, Nutrition","New York, New York, United States","David is a food-tech firm focused on creating high-protein, low-calorie, blood-sugar-friendly foods.","1,214",https://davidprotein.com/,—,"Valor Equity Partners, Greenoaks, Valor Siren Ventures, Peter Rahal, Peter Attia","Greenoaks, Peter Rahal",https://x.com/david_protein,https://www.linkedin.com/company/david-protein,11-50,"$75,000,000",2023
Superhuman (formerly Grammarly),https://www.crunchbase.com/organization/superhuman-1,"May 29, 2025","$1,400,000,000",Not Started,"Artificial Intelligence (AI), Copywriting, Generative AI, Machine Learning, Virtual Assistant","San Francisco, California, United States","Superhuman delivers an AI-powered productivity platform to assist with writing, collaboration, email management, and task automation.","2,113",https://superhuman.com/,$500M to $1B,"General Catalyst, BlackRock, IVP, SignalFire, Spark Capital","Baillie Gifford, BlackRock, General Catalyst",https://x.com/Superhuman,https://www.linkedin.com/company/superhumanhq,1001-5000,"$1,000,000,000","Apr 1, 2009"
Outcomes4Me,https://www.crunchbase.com/organization/outcomes4me,"May 29, 2025","$37,700,000",Not Started,"Artificial Intelligence (AI), Health Care, Medical, Oncology, Personal Health, Software","Boston, Massachusetts, United States",Outcomes4Me develops direct-to-patient AI-driven platform designed to assist cancer patients in managing their care.,"6,659",https://www.outcomes4me.com/,$1M to $10M,"Sierra Ventures, Salica, LabCorp, IRA Capital, Northpond Ventures","Asset Management Ventures (AMV), Northpond Ventures, Salica",https://x.com/outcomes4me,https://www.linkedin.com/company/outcomes4me,11-50,"$21,000,000",2017
Rime,https://www.crunchbase.com/organization/rime-a168,"May 29, 2025","$8,593,986",Not Started,"Artificial Intelligence (AI), Big Data, Product Research","San Francisco, California, United States",Rime develops speech technologies for a wide range of customers.,"8,468",https://rime.ai/,Less than $1M,"Alumni Ventures, Unusual Ventures, Cadenza Ventures, Founders You Should Know, Alex Levin","Alumni Ventures, Unusual Ventures",https://x.com/rimelabs,https://www.linkedin.com/company/rime-ai,1-10,"$5,500,000","Oct 18, 2021"
Vivodyne,https://www.crunchbase.com/organization/vivodyne,"May 29, 2025","$79,999,996",Not Started,"Artificial Intelligence (AI), Biotechnology, Lifestyle","San Francisco, California, United States","Vivodyne accelerates drug discovery using lab-grown human tissues, robotics, and AI to generate accurate preclinical test data.","9,843",https://vivodyne.com/,$10M to $50M,"Khosla Ventures, Bison Ventures, Kairos Ventures, Lingotto, MBX Capital",Khosla Ventures,https://x.com/vivodyne,https://www.linkedin.com/company/vivodyne,11-50,"$40,000,000",2020
