Organization Name,CrunchBase URL,Last Funding Date,Total Funding Amount,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Website,Estimated Revenue Range,Top 5 Investors,Lead Investors,Twitter,LinkedIn,Number of Employees,Last Funding Amount,Founded Date
Dune Security,https://www.crunchbase.com/organization/dune-security-fb6b,"Jan 16, 2025","$6,000,000",Not Started,"Artificial Intelligence (AI), Computer, Cyber Security, Network Security","New York, New York, United States",Dune Security uses AI to assess employee risk and delivers continuous behavioral analytics with anomaly detection.,"44,647",https://www.dune.security/,—,"Alumni Ventures, Craft Ventures, MassMutual Ventures, Toba Capital, Sequoia Scout",Toba Capital,https://x.com/DuneSecurity,https://www.linkedin.com/company/dune-security/,51-100,"$6,000,000",2023
Qorvo,https://www.crunchbase.com/organization/qorvo,"Jan 16, 2025","$350,000,000",Not Started,"Network Hardware, Semiconductor, Wireless","Greensboro, North Carolina, United States","Qorvo (""kor-vo"") enables customers to launch next-generation designs even faster.","44,786",https://www.qorvo.com/,$1B to $10B,Starboard Value,Starboard Value,https://x.com/QorvoInc,https://www.linkedin.com/company/qorvo,5001-10000,—,"Jan 1, 2015"
Big Bold Health,https://www.crunchbase.com/organization/big-bold-health,"Jan 16, 2025","$7,749,974",Not Started,"Health Care, Nutrition, Wellness","Seattle, Washington, United States",Big Bold Health is a platform company providing immune health solutions through nature's wisdom and modern science.,"45,810",https://bigboldhealth.com/,$1M to $10M,"S2G Investments, Starshot Ventures, Andas",S2G Investments,https://x.com/bigboldhealth,https://www.linkedin.com/company/bigboldhealth,11-50,—,2018
Daphne Technology,https://www.crunchbase.com/organization/daphne-technology-sa,"Jan 16, 2025","$34,127,294",Not Started,"Clean Energy, CleanTech, Marine Transportation, Nanotechnology, Power Grid, Shipping","Saint-sulpice, Vaud, Switzerland","Daphne Technology is a developer of a sustainable, technically advanced and cost efficient air emissions control system.","47,086",http://www.daphnetechnology.com/,$10M to $50M,"Motive Partners, Hamilton Lane, Swisscom Ventures, Crowdcube, Trafigura","European Union, Foundation for Innovation and Technology (FIT), J.P. Morgan Global Alternatives, Saudi Aramco Energy Ventures, Shell Ventures, Swisscom Ventures, US Department of Energy, Venture Kick",https://x.com/DaphneTech,https://www.linkedin.com/company/daphne-technology/,11-50,"$6,000,000","Dec 22, 2017"
Grand Valley Power,https://www.crunchbase.com/organization/grand-valley-power,"Jan 16, 2025","$14,950,000",Not Started,"Energy, Energy Management, Renewable Energy","Grand Junction, Colorado, United States",Grand Valley Power provides electricity services to several residential and commercial industries.,"63,374",https://www.gvp.org/,$10M to $50M,"US Department of Energy, U.S. Department of Agriculture","U.S. Department of Agriculture, US Department of Energy",https://x.com/GVRuralPower,https://www.linkedin.com/company/grandvalleypower/,11-50,"$13,000,000","Aug 12, 1936"
ASTEO Red Neutra,https://www.crunchbase.com/organization/asteo-red-neutra,"Jan 16, 2025","€50,000,000",Not Started,"Telecommunications, Wholesale","Alcobendas, Madrid, Spain",ASTEO Red Neutra is a wholesale fiber-to-the-home (FTTH) operator.,"64,974",https://asteo.es/,—,Allianz Global Investors,Allianz Global Investors,,https://www.linkedin.com/company/asteo-red-neutra,11-50,"€50,000,000",2021
Cephagenix,https://www.crunchbase.com/organization/cephagenix,"Jan 16, 2025","€9,000,000",Not Started,"Health Care, Health Diagnostics, Medical, Wellness","Glostrup, Hovedstaden, Denmark","Cephagenix focuses on identifying and developing new, effective migraine therapies.","66,325",https://cephagenix.com/,—,"AbbVie, AdBio partners","AbbVie, AdBio partners",,,—,"€9,000,000",Feb 2020
The Calta Group,https://www.crunchbase.com/organization/the-calta-group,"Jan 16, 2025","$30,000,000",Not Started,Real Estate,"Coral Gables, Florida, United States",The Calta Group focuses on the development and building of multi-family and luxury residential projects.,"66,671",https://thecaltagroup.com/,$1M to $10M,BanescoUSA,BanescoUSA,,https://www.linkedin.com/company/calta-group,11-50,"$30,000,000",2007
Pacific Steel Group,https://www.crunchbase.com/organization/psg-03fa,"Jan 16, 2025","$200,000,000",Not Started,"Construction, Industrial, Industrial Manufacturing, Manufacturing","San Diego, California, United States",Pacific Steel Group is a manufacturing company that offers steel fabrication services for residential and industrial construction sectors.,"69,001",https://pacificsteelgroup.com/,$100M to $500M,Generate Capital,Generate Capital,,https://www.linkedin.com/company/pacific-steel-group,1001-5000,"$200,000,000",2014
BeZero Carbon,https://www.crunchbase.com/organization/bezero-carbon,"Jan 16, 2025","$104,344,301",Not Started,"Information Services, Information Technology","London, England, United Kingdom",The carbon ratings agency.,"73,531",https://bezerocarbon.com/,—,"Norrsken VC, Illuminate Financial, Hitachi Ventures, Extantia Capital, Translink Capital","Contrarian Ventures, GenZero, Molten Ventures, Quantum Energy Partners",https://x.com/bezerocarbon,https://www.linkedin.com/company/bezero-carbon/,101-250,"$32,000,000",2020
